GO,n_genes,TERM,contrast,term_label
GO:0033215,2,reductive iron assimilation,mature_vs_thin,reductive iron assimilation
GO:0033353,2,S-adenosylmethionine cycle,mature_vs_thin,S-adenosylmethionine cycle
GO:0033499,2,"galactose catabolic process via UDP-galactose, Leloir pathway",mature_vs_thin,"galactose catabolic process via UDP-galactose, Leloir pathway"
GO:0033619,2,membrane protein proteolysis,mature_vs_thin,membrane protein proteolysis
GO:0033962,2,P-body assembly,mature_vs_thin,P-body assembly
GO:0034079,2,butanediol biosynthetic process,mature_vs_thin,butanediol biosynthetic process
GO:0034089,2,establishment of meiotic sister chromatid cohesion,mature_vs_thin,establishment of meiotic sister chromatid cohesion
GO:0034090,2,maintenance of meiotic sister chromatid cohesion,mature_vs_thin,maintenance of meiotic sister chromatid cohesion
GO:0034224,2,cellular response to zinc ion starvation,mature_vs_thin,cellular response to zinc ion starvation
GO:0034472,2,snRNA 3'-end processing,mature_vs_thin,snRNA 3'-end processing
GO:0034476,2,U5 snRNA 3'-end processing,mature_vs_thin,U5 snRNA 3'-end processing
GO:0034490,2,basic amino acid transmembrane import into vacuole,mature_vs_thin,basic amino acid transmembrane import into vacuole
GO:0034551,2,mitochondrial respiratory chain complex III assembly,mature_vs_thin,mitochondrial respiratory chain complex III assembly
GO:0034625,2,"fatty acid elongation, monounsaturated fatty acid",mature_vs_thin,"fatty acid elongation, monounsaturated fatty acid"
GO:0034626,2,"fatty acid elongation, polyunsaturated fatty acid",mature_vs_thin,"fatty acid elongation, polyunsaturated fatty acid"
GO:0034755,2,iron ion transmembrane transport,mature_vs_thin,iron ion transmembrane transport
GO:0035336,2,long-chain fatty-acyl-CoA metabolic process,mature_vs_thin,long-chain fatty-acyl-CoA metabolic process
GO:0035433,2,acetate transmembrane transport,mature_vs_thin,acetate transmembrane transport
GO:0035434,2,copper ion transmembrane transport,mature_vs_thin,copper ion transmembrane transport
GO:0035435,2,phosphate ion transmembrane transport,mature_vs_thin,phosphate ion transmembrane transport
GO:0035442,2,dipeptide transmembrane transport,mature_vs_thin,dipeptide transmembrane transport
GO:0035493,2,SNARE complex assembly,mature_vs_thin,SNARE complex assembly
GO:0036205,2,histone catabolic process,mature_vs_thin,histone catabolic process
GO:0036228,2,protein localization to nuclear inner membrane,mature_vs_thin,protein localization to nuclear inner membrane
GO:0036498,2,IRE1-mediated unfolded protein response,mature_vs_thin,IRE1-mediated unfolded protein response
GO:0042326,2,negative regulation of phosphorylation,mature_vs_thin,negative regulation of phosphorylation
GO:0042450,2,L-arginine biosynthetic process via ornithine,mature_vs_thin,L-arginine biosynthetic process via ornithine
GO:0042594,2,response to starvation,mature_vs_thin,response to starvation
GO:0042631,2,cellular response to water deprivation,mature_vs_thin,cellular response to water deprivation
GO:0042744,2,hydrogen peroxide catabolic process,mature_vs_thin,hydrogen peroxide catabolic process
GO:0042770,2,signal transduction in response to DNA damage,mature_vs_thin,signal transduction in response to DNA damage
GO:0042773,2,ATP synthesis coupled electron transport,mature_vs_thin,ATP synthesis coupled electron transport
GO:0042816,2,vitamin B6 metabolic process,mature_vs_thin,vitamin B6 metabolic process
GO:0042938,2,dipeptide transport,mature_vs_thin,dipeptide transport
GO:0043007,2,maintenance of rDNA,mature_vs_thin,maintenance of rDNA
GO:0043039,2,tRNA aminoacylation,mature_vs_thin,tRNA aminoacylation
GO:0043162,2,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,mature_vs_thin,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
GO:0043254,2,regulation of protein-containing complex assembly,mature_vs_thin,regulation of protein-containing complex assembly
GO:0043488,2,regulation of mRNA stability,mature_vs_thin,regulation of mRNA stability
GO:0043709,2,cell adhesion involved in single-species biofilm formation,mature_vs_thin,cell adhesion involved in single-species biofilm formation
GO:0043934,2,sporulation,mature_vs_thin,sporulation
GO:0044210,2,'de novo' CTP biosynthetic process,mature_vs_thin,'de novo' CTP biosynthetic process
GO:0044539,2,long-chain fatty acid import into cell,mature_vs_thin,long-chain fatty acid import into cell
GO:0044772,2,mitotic cell cycle phase transition,mature_vs_thin,mitotic cell cycle phase transition
GO:0044879,2,mitotic morphogenesis checkpoint signaling,mature_vs_thin,mitotic morphogenesis checkpoint signaling
GO:0045033,2,peroxisome inheritance,mature_vs_thin,peroxisome inheritance
GO:0045041,2,protein import into mitochondrial intermembrane space,mature_vs_thin,protein import into mitochondrial intermembrane space
GO:0045046,2,protein import into peroxisome membrane,mature_vs_thin,protein import into peroxisome membrane
GO:0045132,2,meiotic chromosome segregation,mature_vs_thin,meiotic chromosome segregation
GO:0045144,2,meiotic sister chromatid segregation,mature_vs_thin,meiotic sister chromatid segregation
GO:0045184,2,establishment of protein localization,mature_vs_thin,establishment of protein localization
GO:0045471,2,response to ethanol,mature_vs_thin,response to ethanol
GO:0045815,2,transcription initiation-coupled chromatin remodeling,mature_vs_thin,transcription initiation-coupled chromatin remodeling
GO:0045901,2,positive regulation of translational elongation,mature_vs_thin,positive regulation of translational elongation
GO:0045910,2,negative regulation of DNA recombination,mature_vs_thin,negative regulation of DNA recombination
GO:0045947,2,negative regulation of translational initiation,mature_vs_thin,negative regulation of translational initiation
GO:0046100,2,hypoxanthine metabolic process,mature_vs_thin,hypoxanthine metabolic process
GO:0046168,2,glycerol-3-phosphate catabolic process,mature_vs_thin,glycerol-3-phosphate catabolic process
GO:0046210,2,nitric oxide catabolic process,mature_vs_thin,nitric oxide catabolic process
GO:0046352,2,disaccharide catabolic process,mature_vs_thin,disaccharide catabolic process
GO:0046394,2,carboxylic acid biosynthetic process,mature_vs_thin,carboxylic acid biosynthetic process
GO:0046514,2,ceramide catabolic process,mature_vs_thin,ceramide catabolic process
GO:0046580,2,negative regulation of Ras protein signal transduction,mature_vs_thin,negative regulation of Ras protein signal transduction
GO:0046654,2,tetrahydrofolate biosynthetic process,mature_vs_thin,tetrahydrofolate biosynthetic process
GO:0046677,2,response to antibiotic,mature_vs_thin,response to antibiotic
GO:0046822,2,regulation of nucleocytoplasmic transport,mature_vs_thin,regulation of nucleocytoplasmic transport
GO:0046902,2,regulation of mitochondrial membrane permeability,mature_vs_thin,regulation of mitochondrial membrane permeability
GO:0048194,2,Golgi vesicle budding,mature_vs_thin,Golgi vesicle budding
GO:0048284,2,organelle fusion,mature_vs_thin,organelle fusion
GO:0048309,2,endoplasmic reticulum inheritance,mature_vs_thin,endoplasmic reticulum inheritance
GO:0050427,2,3'-phosphoadenosine 5'-phosphosulfate metabolic process,mature_vs_thin,3'-phosphoadenosine 5'-phosphosulfate metabolic process
GO:0051027,2,DNA transport,mature_vs_thin,DNA transport
GO:0051177,2,meiotic sister chromatid cohesion,mature_vs_thin,meiotic sister chromatid cohesion
GO:0051225,2,spindle assembly,mature_vs_thin,spindle assembly
GO:0051307,2,meiotic chromosome separation,mature_vs_thin,meiotic chromosome separation
GO:0051455,2,spindle attachment to meiosis I kinetochore,mature_vs_thin,spindle attachment to meiosis I kinetochore
GO:0051457,2,maintenance of protein location in nucleus,mature_vs_thin,maintenance of protein location in nucleus
GO:0051598,2,meiotic recombination checkpoint signaling,mature_vs_thin,meiotic recombination checkpoint signaling
GO:0051792,2,medium-chain fatty acid biosynthetic process,mature_vs_thin,medium-chain fatty acid biosynthetic process
GO:0051793,2,medium-chain fatty acid catabolic process,mature_vs_thin,medium-chain fatty acid catabolic process
GO:0051987,2,positive regulation of attachment of spindle microtubules to kinetochore,mature_vs_thin,positive regulation of attachment of spindle microtubules to kinetochore
GO:0055070,2,copper ion homeostasis,mature_vs_thin,copper ion homeostasis
GO:0055086,2,nucleobase-containing small molecule metabolic process,mature_vs_thin,nucleobase-containing small molecule metabolic process
GO:0060188,2,regulation of protein desumoylation,mature_vs_thin,regulation of protein desumoylation
GO:0060196,2,positive regulation of antisense RNA transcription,mature_vs_thin,positive regulation of antisense RNA transcription
GO:0060988,2,lipid tube assembly,mature_vs_thin,lipid tube assembly
GO:0061024,2,membrane organization,mature_vs_thin,membrane organization
GO:0061157,2,mRNA destabilization,mature_vs_thin,mRNA destabilization
GO:0061186,2,negative regulation of silent mating-type cassette heterochromatin formation,mature_vs_thin,negative regulation of silent mating-type cassette heterochromatin formation
GO:0061640,2,cytoskeleton-dependent cytokinesis,mature_vs_thin,cytoskeleton-dependent cytokinesis
GO:0070058,2,tRNA gene clustering,mature_vs_thin,tRNA gene clustering
GO:0070086,2,ubiquitin-dependent endocytosis,mature_vs_thin,ubiquitin-dependent endocytosis
GO:0070125,2,mitochondrial translational elongation,mature_vs_thin,mitochondrial translational elongation
GO:0070130,2,negative regulation of mitochondrial translation,mature_vs_thin,negative regulation of mitochondrial translation
GO:0070193,2,synaptonemal complex organization,mature_vs_thin,synaptonemal complex organization
GO:0070301,2,cellular response to hydrogen peroxide,mature_vs_thin,cellular response to hydrogen peroxide
GO:0070314,2,G1 to G0 transition,mature_vs_thin,G1 to G0 transition
GO:0070478,2,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay",mature_vs_thin,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"
GO:0070778,2,L-aspartate transmembrane transport,mature_vs_thin,L-aspartate transmembrane transport
GO:0070911,2,global genome nucleotide-excision repair,mature_vs_thin,global genome nucleotide-excision repair
GO:0070966,2,"nuclear-transcribed mRNA catabolic process, no-go decay",mature_vs_thin,"nuclear-transcribed mRNA catabolic process, no-go decay"
GO:0070973,2,protein localization to endoplasmic reticulum exit site,mature_vs_thin,protein localization to endoplasmic reticulum exit site
GO:0071031,2,nuclear mRNA surveillance of mRNA 3'-end processing,mature_vs_thin,nuclear mRNA surveillance of mRNA 3'-end processing
GO:0071034,2,CUT catabolic process,mature_vs_thin,CUT catabolic process
GO:0071039,2,nuclear polyadenylation-dependent CUT catabolic process,mature_vs_thin,nuclear polyadenylation-dependent CUT catabolic process
GO:0071042,2,nuclear polyadenylation-dependent mRNA catabolic process,mature_vs_thin,nuclear polyadenylation-dependent mRNA catabolic process
GO:0071168,2,protein localization to chromatin,mature_vs_thin,protein localization to chromatin
GO:0071169,2,establishment of protein localization to chromatin,mature_vs_thin,establishment of protein localization to chromatin
GO:0071218,2,cellular response to misfolded protein,mature_vs_thin,cellular response to misfolded protein
GO:0071333,2,cellular response to glucose stimulus,mature_vs_thin,cellular response to glucose stimulus
GO:0071361,2,cellular response to ethanol,mature_vs_thin,cellular response to ethanol
GO:0071456,2,cellular response to hypoxia,mature_vs_thin,cellular response to hypoxia
GO:0071465,2,cellular response to desiccation,mature_vs_thin,cellular response to desiccation
GO:0071469,2,cellular response to alkaline pH,mature_vs_thin,cellular response to alkaline pH
GO:0071476,2,cellular hypotonic response,mature_vs_thin,cellular hypotonic response
GO:0071528,2,tRNA re-export from nucleus,mature_vs_thin,tRNA re-export from nucleus
GO:0071543,2,diphosphoinositol polyphosphate metabolic process,mature_vs_thin,diphosphoinositol polyphosphate metabolic process
GO:0071630,2,nuclear protein quality control by the ubiquitin-proteasome system,mature_vs_thin,nuclear protein quality control by the ubiquitin-proteasome system
GO:0071786,2,endoplasmic reticulum tubular network organization,mature_vs_thin,endoplasmic reticulum tubular network organization
GO:0071970,2,fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process,mature_vs_thin,fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process
GO:0072521,2,purine-containing compound metabolic process,mature_vs_thin,purine-containing compound metabolic process
GO:0072659,2,protein localization to plasma membrane,mature_vs_thin,protein localization to plasma membrane
GO:0072666,2,establishment of protein localization to vacuole,mature_vs_thin,establishment of protein localization to vacuole
GO:0072697,2,protein localization to cell cortex,mature_vs_thin,protein localization to cell cortex
GO:0075523,2,viral translational frameshifting,mature_vs_thin,viral translational frameshifting
GO:0090110,2,COPII-coated vesicle cargo loading,mature_vs_thin,COPII-coated vesicle cargo loading
GO:0090114,2,COPII-coated vesicle budding,mature_vs_thin,COPII-coated vesicle budding
GO:0090155,2,negative regulation of sphingolipid biosynthetic process,mature_vs_thin,negative regulation of sphingolipid biosynthetic process
GO:0090156,2,intracellular sphingolipid homeostasis,mature_vs_thin,intracellular sphingolipid homeostasis
GO:0090262,2,regulation of transcription-coupled nucleotide-excision repair,mature_vs_thin,regulation of transcription-coupled nucleotide-excision repair
GO:0090374,2,oligopeptide export from mitochondrion,mature_vs_thin,oligopeptide export from mitochondrion
GO:0097250,2,mitochondrial respirasome assembly,mature_vs_thin,mitochondrial respirasome assembly
GO:0097446,2,protein localization to eisosome filament,mature_vs_thin,protein localization to eisosome filament
GO:0097576,2,vacuole fusion,mature_vs_thin,vacuole fusion
GO:0097720,2,calcineurin-mediated signaling,mature_vs_thin,calcineurin-mediated signaling
GO:0098609,2,cell-cell adhesion,mature_vs_thin,cell-cell adhesion
GO:0098656,2,monoatomic anion transmembrane transport,mature_vs_thin,monoatomic anion transmembrane transport
GO:0098718,2,serine import across plasma membrane,mature_vs_thin,serine import across plasma membrane
GO:0098734,2,macromolecule depalmitoylation,mature_vs_thin,macromolecule depalmitoylation
GO:0098771,2,inorganic ion homeostasis,mature_vs_thin,inorganic ion homeostasis
GO:0106380,2,purine ribonucleotide salvage,mature_vs_thin,purine ribonucleotide salvage
GO:0140469,2,GCN2-mediated signaling,mature_vs_thin,GCN2-mediated signaling
GO:0140504,2,microlipophagy,mature_vs_thin,microlipophagy
GO:0141164,2,mitochondrial protein quality control,mature_vs_thin,mitochondrial protein quality control
GO:0180023,2,cytosolic large ribosomal subunit assembly,mature_vs_thin,cytosolic large ribosomal subunit assembly
GO:1900182,2,positive regulation of protein localization to nucleus,mature_vs_thin,positive regulation of protein localization to nucleus
GO:1900436,2,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation,mature_vs_thin,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation
GO:1901426,2,response to furfural,mature_vs_thin,response to furfural
GO:1901524,2,regulation of mitophagy,mature_vs_thin,regulation of mitophagy
GO:1902047,2,polyamine transmembrane transport,mature_vs_thin,polyamine transmembrane transport
GO:1902356,2,oxaloacetate(2-) transmembrane transport,mature_vs_thin,oxaloacetate(2-) transmembrane transport
GO:1902476,2,chloride transmembrane transport,mature_vs_thin,chloride transmembrane transport
GO:1902906,2,proteasome storage granule assembly,mature_vs_thin,proteasome storage granule assembly
GO:1902975,2,mitotic DNA replication initiation,mature_vs_thin,mitotic DNA replication initiation
GO:1903424,2,fluoride transmembrane transport,mature_vs_thin,fluoride transmembrane transport
GO:1903826,2,L-arginine transmembrane transport,mature_vs_thin,L-arginine transmembrane transport
GO:1903830,2,magnesium ion transmembrane transport,mature_vs_thin,magnesium ion transmembrane transport
GO:1904547,2,regulation of cellular response to glucose starvation,mature_vs_thin,regulation of cellular response to glucose starvation
GO:1904750,2,negative regulation of protein localization to nucleolus,mature_vs_thin,negative regulation of protein localization to nucleolus
GO:1905329,2,sphingoid long-chain base transport,mature_vs_thin,sphingoid long-chain base transport
GO:1990539,2,fructose import across plasma membrane,mature_vs_thin,fructose import across plasma membrane
GO:1990822,2,basic amino acid transmembrane transport,mature_vs_thin,basic amino acid transmembrane transport
GO:2000059,2,negative regulation of ubiquitin-dependent protein catabolic process,mature_vs_thin,negative regulation of ubiquitin-dependent protein catabolic process
GO:2000218,2,negative regulation of invasive growth in response to glucose limitation,mature_vs_thin,negative regulation of invasive growth in response to glucose limitation
GO:2000234,2,positive regulation of rRNA processing,mature_vs_thin,positive regulation of rRNA processing
GO:2000766,2,negative regulation of cytoplasmic translation,mature_vs_thin,negative regulation of cytoplasmic translation
GO:0000011,1,vacuole inheritance,mature_vs_thin,vacuole inheritance
GO:0000017,1,alpha-glucoside transport,mature_vs_thin,alpha-glucoside transport
GO:0000050,1,urea cycle,mature_vs_thin,urea cycle
GO:0000056,1,ribosomal small subunit export from nucleus,mature_vs_thin,ribosomal small subunit export from nucleus
GO:0000073,1,initial mitotic spindle pole body separation,mature_vs_thin,initial mitotic spindle pole body separation
GO:0000128,1,flocculation,mature_vs_thin,flocculation
GO:0000154,1,rRNA modification,mature_vs_thin,rRNA modification
GO:0000160,1,phosphorelay signal transduction system,mature_vs_thin,phosphorelay signal transduction system
GO:0000196,1,cell integrity MAPK cascade,mature_vs_thin,cell integrity MAPK cascade
GO:0000271,1,polysaccharide biosynthetic process,mature_vs_thin,polysaccharide biosynthetic process
GO:0000302,1,response to reactive oxygen species,mature_vs_thin,response to reactive oxygen species
GO:0000304,1,response to singlet oxygen,mature_vs_thin,response to singlet oxygen
GO:0000316,1,sulfite transmembrane transport,mature_vs_thin,sulfite transmembrane transport
GO:0000320,1,re-entry into mitotic cell cycle,mature_vs_thin,re-entry into mitotic cell cycle
GO:0000388,1,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),mature_vs_thin,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000389,1,mRNA 3'-splice site recognition,mature_vs_thin,mRNA 3'-splice site recognition
GO:0000393,1,spliceosomal conformational changes to generate catalytic conformation,mature_vs_thin,spliceosomal conformational changes to generate catalytic conformation
GO:0000411,1,positive regulation of transcription by galactose,mature_vs_thin,positive regulation of transcription by galactose
GO:0000448,1,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_thin,"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000452,1,snoRNA guided rRNA 2'-O-methylation,mature_vs_thin,snoRNA guided rRNA 2'-O-methylation
GO:0000461,1,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_thin,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000464,1,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_thin,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000465,1,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",mature_vs_thin,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000494,1,box C/D sno(s)RNA 3'-end processing,mature_vs_thin,box C/D sno(s)RNA 3'-end processing
GO:0000495,1,box H/ACA sno(s)RNA 3'-end processing,mature_vs_thin,box H/ACA sno(s)RNA 3'-end processing
GO:0000706,1,meiotic DNA double-strand break processing,mature_vs_thin,meiotic DNA double-strand break processing
GO:0000707,1,meiotic DNA recombinase assembly,mature_vs_thin,meiotic DNA recombinase assembly
GO:0000709,1,meiotic joint molecule formation,mature_vs_thin,meiotic joint molecule formation
GO:0000713,1,meiotic heteroduplex formation,mature_vs_thin,meiotic heteroduplex formation
GO:0000719,1,photoreactive repair,mature_vs_thin,photoreactive repair
GO:0000729,1,DNA double-strand break processing,mature_vs_thin,DNA double-strand break processing
GO:0000752,1,agglutination involved in conjugation with cellular fusion,mature_vs_thin,agglutination involved in conjugation with cellular fusion
GO:0000770,1,peptide pheromone export,mature_vs_thin,peptide pheromone export
GO:0000821,1,regulation of arginine metabolic process,mature_vs_thin,regulation of arginine metabolic process
GO:0000915,1,actomyosin contractile ring assembly,mature_vs_thin,actomyosin contractile ring assembly
GO:0000949,1,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway,mature_vs_thin,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000950,1,branched-chain amino acid catabolic process to alcohol via Ehrlich pathway,mature_vs_thin,branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000951,1,L-methionine catabolic process to 3-methylthiopropanol,mature_vs_thin,L-methionine catabolic process to 3-methylthiopropanol
GO:0000955,1,amino acid catabolic process via Ehrlich pathway,mature_vs_thin,amino acid catabolic process via Ehrlich pathway
GO:0000957,1,mitochondrial RNA catabolic process,mature_vs_thin,mitochondrial RNA catabolic process
GO:0000959,1,mitochondrial RNA metabolic process,mature_vs_thin,mitochondrial RNA metabolic process
GO:0000965,1,mitochondrial RNA 3'-end processing,mature_vs_thin,mitochondrial RNA 3'-end processing
GO:0001015,1,snoRNA transcription by RNA polymerase II,mature_vs_thin,snoRNA transcription by RNA polymerase II
GO:0001100,1,negative regulation of exit from mitosis,mature_vs_thin,negative regulation of exit from mitosis
GO:0001112,1,DNA-templated transcription open complex formation,mature_vs_thin,DNA-templated transcription open complex formation
GO:0001193,1,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II,mature_vs_thin,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:0001195,1,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III,mature_vs_thin,maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III
GO:0001407,1,glycerophosphodiester transmembrane transport,mature_vs_thin,glycerophosphodiester transmembrane transport
GO:0001522,1,pseudouridine synthesis,mature_vs_thin,pseudouridine synthesis
GO:0001578,1,microtubule bundle formation,mature_vs_thin,microtubule bundle formation
GO:0001731,1,formation of translation preinitiation complex,mature_vs_thin,formation of translation preinitiation complex
GO:0001762,1,beta-alanine transport,mature_vs_thin,beta-alanine transport
GO:0001927,1,exocyst assembly,mature_vs_thin,exocyst assembly
GO:0002092,1,positive regulation of receptor internalization,mature_vs_thin,positive regulation of receptor internalization
GO:0002107,1,generation of mature 3'-end of 5S rRNA generated by RNA polymerase III,mature_vs_thin,generation of mature 3'-end of 5S rRNA generated by RNA polymerase III
GO:0002184,1,cytoplasmic translational termination,mature_vs_thin,cytoplasmic translational termination
GO:0002236,1,detection of misfolded protein,mature_vs_thin,detection of misfolded protein
GO:0002943,1,tRNA dihydrouridine synthesis,mature_vs_thin,tRNA dihydrouridine synthesis
GO:0002949,1,tRNA threonylcarbamoyladenosine modification,mature_vs_thin,tRNA threonylcarbamoyladenosine modification
GO:0005976,1,polysaccharide metabolic process,mature_vs_thin,polysaccharide metabolic process
GO:0005991,1,trehalose metabolic process,mature_vs_thin,trehalose metabolic process
GO:0005993,1,trehalose catabolic process,mature_vs_thin,trehalose catabolic process
GO:0006002,1,fructose 6-phosphate metabolic process,mature_vs_thin,fructose 6-phosphate metabolic process
GO:0006011,1,UDP-alpha-D-glucose metabolic process,mature_vs_thin,UDP-alpha-D-glucose metabolic process
GO:0006014,1,D-ribose metabolic process,mature_vs_thin,D-ribose metabolic process
GO:0006021,1,inositol biosynthetic process,mature_vs_thin,inositol biosynthetic process
GO:0006033,1,chitin localization,mature_vs_thin,chitin localization
GO:0006044,1,N-acetylglucosamine metabolic process,mature_vs_thin,N-acetylglucosamine metabolic process
GO:0006047,1,UDP-N-acetylglucosamine metabolic process,mature_vs_thin,UDP-N-acetylglucosamine metabolic process
GO:0006062,1,sorbitol catabolic process,mature_vs_thin,sorbitol catabolic process
GO:0006067,1,ethanol metabolic process,mature_vs_thin,ethanol metabolic process
GO:0006075,1,(1->3)-beta-D-glucan biosynthetic process,mature_vs_thin,(1->3)-beta-D-glucan biosynthetic process
GO:0006083,1,acetate metabolic process,mature_vs_thin,acetate metabolic process
GO:0006085,1,acetyl-CoA biosynthetic process,mature_vs_thin,acetyl-CoA biosynthetic process
GO:0006086,1,pyruvate decarboxylation to acetyl-CoA,mature_vs_thin,pyruvate decarboxylation to acetyl-CoA
GO:0006090,1,pyruvate metabolic process,mature_vs_thin,pyruvate metabolic process
GO:0006101,1,citrate metabolic process,mature_vs_thin,citrate metabolic process
GO:0006102,1,isocitrate metabolic process,mature_vs_thin,isocitrate metabolic process
GO:0006104,1,succinyl-CoA metabolic process,mature_vs_thin,succinyl-CoA metabolic process
GO:0006108,1,malate metabolic process,mature_vs_thin,malate metabolic process
GO:0006110,1,regulation of glycolytic process,mature_vs_thin,regulation of glycolytic process
GO:0006111,1,regulation of gluconeogenesis,mature_vs_thin,regulation of gluconeogenesis
GO:0006146,1,adenine catabolic process,mature_vs_thin,adenine catabolic process
GO:0006152,1,purine nucleoside catabolic process,mature_vs_thin,purine nucleoside catabolic process
GO:0006168,1,adenine salvage,mature_vs_thin,adenine salvage
GO:0006206,1,pyrimidine nucleobase metabolic process,mature_vs_thin,pyrimidine nucleobase metabolic process
GO:0006212,1,uracil catabolic process,mature_vs_thin,uracil catabolic process
GO:0006216,1,cytidine catabolic process,mature_vs_thin,cytidine catabolic process
GO:0006218,1,uridine catabolic process,mature_vs_thin,uridine catabolic process
GO:0006227,1,dUDP biosynthetic process,mature_vs_thin,dUDP biosynthetic process
GO:0006233,1,dTDP biosynthetic process,mature_vs_thin,dTDP biosynthetic process
GO:0006235,1,dTTP biosynthetic process,mature_vs_thin,dTTP biosynthetic process
GO:0006264,1,mitochondrial DNA replication,mature_vs_thin,mitochondrial DNA replication
GO:0006272,1,leading strand elongation,mature_vs_thin,leading strand elongation
GO:0006273,1,lagging strand elongation,mature_vs_thin,lagging strand elongation
GO:0006276,1,plasmid maintenance,mature_vs_thin,plasmid maintenance
GO:0006278,1,RNA-templated DNA biosynthetic process,mature_vs_thin,RNA-templated DNA biosynthetic process
GO:0006285,1,"base-excision repair, AP site formation",mature_vs_thin,"base-excision repair, AP site formation"
GO:0006287,1,"base-excision repair, gap-filling",mature_vs_thin,"base-excision repair, gap-filling"
GO:0006297,1,"nucleotide-excision repair, DNA gap filling",mature_vs_thin,"nucleotide-excision repair, DNA gap filling"
GO:0006301,1,postreplication repair,mature_vs_thin,postreplication repair
GO:0006307,1,DNA alkylation repair,mature_vs_thin,DNA alkylation repair
GO:0006311,1,meiotic gene conversion,mature_vs_thin,meiotic gene conversion
GO:0006335,1,DNA replication-dependent chromatin assembly,mature_vs_thin,DNA replication-dependent chromatin assembly
GO:0006356,1,regulation of transcription by RNA polymerase I,mature_vs_thin,regulation of transcription by RNA polymerase I
GO:0006386,1,termination of RNA polymerase III transcription,mature_vs_thin,termination of RNA polymerase III transcription
GO:0006390,1,mitochondrial transcription,mature_vs_thin,mitochondrial transcription
GO:0006401,1,RNA catabolic process,mature_vs_thin,RNA catabolic process
GO:0006402,1,mRNA catabolic process,mature_vs_thin,mRNA catabolic process
GO:0006419,1,alanyl-tRNA aminoacylation,mature_vs_thin,alanyl-tRNA aminoacylation
GO:0006422,1,aspartyl-tRNA aminoacylation,mature_vs_thin,aspartyl-tRNA aminoacylation
GO:0006425,1,glutaminyl-tRNA aminoacylation,mature_vs_thin,glutaminyl-tRNA aminoacylation
GO:0006428,1,isoleucyl-tRNA aminoacylation,mature_vs_thin,isoleucyl-tRNA aminoacylation
GO:0006429,1,leucyl-tRNA aminoacylation,mature_vs_thin,leucyl-tRNA aminoacylation
GO:0006431,1,methionyl-tRNA aminoacylation,mature_vs_thin,methionyl-tRNA aminoacylation
GO:0006434,1,seryl-tRNA aminoacylation,mature_vs_thin,seryl-tRNA aminoacylation
GO:0006446,1,regulation of translational initiation,mature_vs_thin,regulation of translational initiation
GO:0006448,1,regulation of translational elongation,mature_vs_thin,regulation of translational elongation
GO:0006451,1,translational readthrough,mature_vs_thin,translational readthrough
GO:0006468,1,protein phosphorylation,mature_vs_thin,protein phosphorylation
GO:0006470,1,protein dephosphorylation,mature_vs_thin,protein dephosphorylation
GO:0006473,1,protein acetylation,mature_vs_thin,protein acetylation
GO:0006474,1,N-terminal protein amino acid acetylation,mature_vs_thin,N-terminal protein amino acid acetylation
